Kompozice,Cena,Lokalita,Velikost,Velikost_s_jednotkou
1+kk,9000.0,"Porubská, Ostrava - Poruba",35,35 m²
1+1,8800.0,"Erbenova, Ostrava - Vítkovice",55,55 m²
2+1,9500.0,"Erbenova, Ostrava - Vítkovice",70,70 m²
1+1,11500.0,"Josefa Brabce, Ostrava - Moravská Ostrava",35,35 m²
3+1,14000.0,"Žofinská, Ostrava - Moravská Ostrava",119,119 m²
1+1,11500.0,"Františka Čechury, Ostrava - Poruba",32,32 m²
2+kk,10900.0,"Vršovců, Ostrava - Mariánské Hory",50,50 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+1,12000.0,"Markova, Ostrava - Zábřeh",45,45 m²
2+kk,20000.0,"Jantarová, Ostrava - Moravská Ostrava",59,59 m²
2+1,7480.0,"Sokolovská, Ostrava - Poruba",62,62 m²
1+kk,11800.0,"30. dubna, Ostrava - Moravská Ostrava",30,30 m²
1+1,9350.0,"Polská, Ostrava - Poruba",28,28 m²
3+1,22900.0,"Zborovská, Ostrava - Moravská Ostrava",96,96 m²
3+1,23000.0,"Jana Maluchy, Ostrava - Dubina",79,79 m²
3+1,15000.0,"Jana Maluchy, Ostrava - Dubina",73,73 m²
2+kk,15500.0,"Horní, Ostrava - Bělský Les",57,57 m²
2+1,14000.0,"Sokolská třída, Ostrava - Moravská Ostrava",56,56 m²
2+kk,13500.0,Ostrava - Mariánské Hory,46,46 m²
3+kk,30000.0,"F. X. Riepla, Ostrava - Moravská Ostrava",88,88 m²
4+kk,43000.0,"Důlní, Ostrava - Moravská Ostrava",128,128 m²
2+1,12000.0,"Podroužkova, Ostrava - Poruba",47,47 m²
3+1,15000.0,"Proskovická, Ostrava - Výškovice",66,66 m²
1+kk,9000.0,"Podroužkova, Ostrava - Poruba",27,27 m²
2+kk,13000.0,"Josefa Skupy, Ostrava - Poruba",50,50 m²
3+kk,19000.0,"Sadová, Ostrava - Moravská Ostrava",81,81 m²
1+1,6500.0,"Kašparova, Ostrava - Hrabůvka",25,25 m²
1+1,8000.0,"Josefa Brabce, Ostrava - Moravská Ostrava",34,34 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
1+1,8900.0,"Výškovická, Ostrava - Zábřeh",36,36 m²
3+1,13000.0,"Badatelů, Ostrava - Poruba",68,68 m²
3+kk,28000.0,"Důlní, Ostrava - Moravská Ostrava",79,79 m²
2+kk,15000.0,"V Zátiší, Ostrava - Mariánské Hory",48,48 m²
2+1,13000.0,"Průběžná, Ostrava - Poruba",44,44 m²
4+1,17000.0,"Mánesova, Ostrava - Moravská Ostrava",84,84 m²
3+1,13600.0,"Aloise Gavlase, Ostrava - Dubina",68,68 m²
1+1,9900.0,"Marty Krásové, Ostrava - Poruba",40,40 m²
1+1,8990.0,"Cihelní, Ostrava - Moravská Ostrava",26,26 m²
2+kk,6500.0,"Adamusova, Ostrava - Hrabůvka",36,36 m²
2+1,13500.0,"Opavská, Ostrava",60,60 m²
2+kk,15000.0,"Michálkovická, Ostrava - Slezská Ostrava",55,55 m²
2+1,10900.0,"Ivana Sekaniny, Ostrava - Poruba",49,49 m²
1+1,9400.0,"Výškovická, Ostrava - Výškovice",39,39 m²
2+1,10000.0,"Vlasty Vlasákové, Ostrava - Bělský Les",44,44 m²
1+1,9500.0,"Vršovců, Ostrava - Mariánské Hory",30,30 m²
1+1,8500.0,"Průběžná, Ostrava - Poruba",27,27 m²
1+1,9800.0,"Pavlovova, Ostrava - Zábřeh",40,40 m²
2+kk,13000.0,"Žilinská, Ostrava - Poruba",54,54 m²
1+1,7500.0,"Erbenova, Ostrava - Vítkovice",35,35 m²
2+1,10800.0,"Spojů, Ostrava - Poruba",62,62 m²
1+kk,7200.0,Ostrava - Zábřeh,22,22 m²
1+1,9200.0,Ostrava - Zábřeh,45,45 m²
2+kk,16347.0,"Lidická, Ostrava - Vítkovice",44,44 m²
1+kk,9000.0,"Krasnoarmejců, Ostrava - Zábřeh",22,22 m²
2+1,8500.0,"Gajdošova, Ostrava - Moravská Ostrava",53,53 m²
3+kk,16000.0,"Michálkovická, Ostrava - Slezská Ostrava",84,84 m²
3+1,16500.0,"Michálkovická, Ostrava - Slezská Ostrava",115,115 m²
3+1,15000.0,"Mojmírovců, Ostrava - Mariánské Hory",66,66 m²
2+kk,9500.0,"Mojmírovců, Ostrava - Mariánské Hory",48,48 m²
3+1,15000.0,"Bedrnova, Ostrava - Zábřeh",73,73 m²
2+1,16000.0,"Poštovní, Ostrava - Moravská Ostrava",69,69 m²
2+1,13000.0,"Mitušova, Ostrava - Hrabůvka",54,54 m²
2+kk,12000.0,Ostrava - Přívoz,43,43 m²
1+kk,9000.0,"Palackého, Ostrava - Přívoz",29,29 m²
5+1,14990.0,"28. října, Ostrava",125,125 m²
4+kk,39000.0,"náměstí Biskupa Bruna, Ostrava - Moravská Ostrava",109,109 m²
3+kk,32000.0,"Dlouhá, Ostrava - Moravská Ostrava",90,90 m²
1+1,8200.0,"Přemyslovců, Ostrava - Mariánské Hory",32,32 m²
2+1,12000.0,"Jana Ziky, Ostrava - Poruba",58,58 m²
2+1,11450.0,"Porubská, Ostrava - Poruba",55,55 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+1,10850.0,"Bohuslava Martinů, Ostrava - Poruba",54,54 m²
2+1,9950.0,"Havanská, Ostrava - Poruba",55,55 m²
2+1,10250.0,"Hlavní třída, Ostrava - Poruba",53,53 m²
2+1,11300.0,"Hlavní třída, Ostrava - Poruba",55,55 m²
2+1,11650.0,"náměstí Boženy Němcové, Ostrava - Poruba",67,67 m²
2+1,11200.0,"Gustava Klimenta, Ostrava - Poruba",58,58 m²
2+1,10100.0,"Porubská, Ostrava - Poruba",49,49 m²
2+kk,8950.0,"Zvoníčkova, Ostrava - Michálkovice",50,50 m²
2+1,10250.0,"Gajdošova, Ostrava - Moravská Ostrava",56,56 m²
1+1,8900.0,"Preslova, Ostrava - Moravská Ostrava",29,29 m²
1+1,9650.0,"Veverkova, Ostrava - Hrabůvka",39,39 m²
2+1,10850.0,"Přemyslovců, Ostrava - Mariánské Hory",59,59 m²
1+1,9550.0,"Dvořákova, Ostrava - Moravská Ostrava",38,38 m²
3+1,14750.0,"Na Bělidle, Ostrava - Moravská Ostrava",75,75 m²
2+kk,10050.0,"Štěpničkova, Ostrava - Michálkovice",48,48 m²
2+1,10800.0,"Čs. exilu, Ostrava - Poruba",55,55 m²
4+1,11550.0,"Komenského, Ostrava - Poruba",92,92 m²
3+1,13000.0,"náměstí Vítězslava Nováka, Ostrava - Poruba",76,76 m²
3+1,12600.0,"Opavská, Ostrava - Poruba",73,73 m²
2+kk,10250.0,"Výhradní, Ostrava - Kunčičky",47,47 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+1,10700.0,"Havanská, Ostrava - Poruba",54,54 m²
2+kk,9550.0,"Pavlouskova, Ostrava - Poruba",47,47 m²
2+1,11400.0,"Gregorova, Ostrava - Moravská Ostrava",66,66 m²
2+1,8350.0,"Zemanská, Ostrava - Muglinov",50,50 m²
1+1,8800.0,"Myslbekova, Ostrava - Moravská Ostrava",32,32 m²
2+kk,10250.0,"Sokolská třída, Ostrava - Moravská Ostrava",55,55 m²
3+1,12700.0,"17. listopadu, Ostrava - Poruba",79,79 m²
2+1,11600.0,"Hrušovská, Ostrava - Moravská Ostrava",90,90 m²
2+1,9900.0,"Na Jízdárně, Ostrava - Moravská Ostrava",53,53 m²
1+1,8900.0,"Čs. exilu, Ostrava - Poruba",36,36 m²
1+1,8600.0,"Preslova, Ostrava - Moravská Ostrava",27,27 m²
2+1,10000.0,"Asejevova, Ostrava - Zábřeh",48,48 m²
1+1,9650.0,"Matěje Kopeckého, Ostrava - Poruba",38,38 m²
2+kk,9000.0,"Dělnická, Ostrava - Poruba",38,38 m²
2+1,9950.0,"Zelená, Ostrava - Moravská Ostrava",48,48 m²
2+1,10250.0,"Zborovská, Ostrava - Moravská Ostrava",58,58 m²
3+kk,11900.0,"Hlavní třída, Ostrava - Poruba",54,54 m²
2+1,9850.0,"Havanská, Ostrava - Poruba",54,54 m²
1+kk,7000.0,"Francouzská, Ostrava - Poruba",23,23 m²
2+1,11400.0,"náměstí Jana Nerudy, Ostrava - Poruba",53,53 m²
2+1,10500.0,"Komenského, Ostrava - Poruba",56,56 m²
3+1,13500.0,"Petruškova, Ostrava - Zábřeh",65,65 m²
